value,n,pct
LV,9467,0.20592808374423238
SY,9417,0.2048404737107253
BG,9200,0.20012024616530452
SL,9131,0.19861934431906475
CR,9048,0.19681391166344298
GH,8985,0.19544352302122403
HU,8698,0.18920064142889337
CU,8496,0.18480669689352472
BE,8294,0.18041275235815607
SO,7893,0.17169011988942923
SI,7508,0.16331552263142463
RS,7414,0.1612708157684313
BD,6711,0.1459790186973216
LA,6583,0.14319473701154348
LS,6472,0.14078024273715772
LK,6429,0.1398448981083416
HN,5790,0.12594524188012102
PR,5660,0.12311745579300258
KP,5403,0.11752714022077614
EE,5167,0.11239362086262267
GE,5143,0.11187156804653928
HT,4989,0.10852172914333742
AZ,4905,0.10669454428704553
AL,4902,0.1066292876850351
SV,4851,0.10551992545085787
PA,4577,0.09955982246723902
CF,4463,0.09708007159084284
ME,4060,0.0883139347207757
AO,4044,0.08796589951005343
DO,4034,0.08774837750335202
ET,3725,0.0810269474962782
AF,3712,0.08074416888756636
TN,3621,0.07876471862658345
NZ,3364,0.073174403054357
TJ,2983,0.06488681459903299
TL,2927,0.06366869136150503
OM,2904,0.06316839074609178
IL,2752,0.05986205624423023
PY,2672,0.05812188019061888
MW,2582,0.05616418213030613
JO,2555,0.055576872712212295
MK,2421,0.05266207782241329
JM,2410,0.05242280361504174
MZ,2385,0.05187899859828819
KG,2349,0.051095919374163086
XK,2243,0.048790186103128054
MD,2225,0.0483986464910655
KH,2152,0.046810735842145144
LB,2139,0.04652795723343331
BT,1963,0.04269956991548835
BI,1836,0.03993704043038034
HK,1814,0.039458492015637225
AE,1789,0.038914686998883674
TG,1725,0.0375225461559946
MR,1724,0.03750079395532446
TM,1713,0.0372615197479529
UY,1650,0.03589113110573397
ZM,1607,0.03495578647691787
CG,1590,0.03458599906552546
AM,1482,0.03223676139315015
LY,1444,0.031410177767684754
SS,1340,0.029147948897990012
CY,1209,0.026298410610201436
GM,1206,0.026233154008191012
GY,1200,0.026102640804170157
XW,1180,0.02566759679076732
KW,1132,0.024623491158600515
NA,1108,0.02410143834251711
MN,1085,0.02360113772710385
VU,1070,0.023274854717051725
LU,1061,0.02307908491102045
GW,997,0.021686944068131372
GA,988,0.021491174262100097
BB,975,0.021208395653388255
ZW,971,0.021121386850707687
RW,941,0.020468820830603432
GF,888,0.019315954195085916
PF,817,0.017771547947505847
SG,808,0.017575778141474572
MU,774,0.016836203318689753
CV,757,0.01646641590729734
BZ,716,0.015574575679821526
BS,676,0.014704487653015855
BW,639,0.01389965622822061
GP,621,0.013508116616158056
FJ,596,0.012964311599404513
SZ,528,0.01148516195383487
ER,508,0.011050117940432033
LC,478,0.010397551920327779
SB,477,0.010375799719657637
SR,473,0.010288790916977071
ST,433,0.0094187028901714
BN,430,0.009353446288160972
WS,419,0.009114172080789414
NC,408,0.008874897873417853
IS,402,0.008744384669397004
FO,402,0.008744384669397004
CW,392,0.008526862662695586
RE,377,0.008200579652643458
KM,363,0.007896048843261472
MQ,360,0.007830792241251048
TT,349,0.007591518033879488
SM,315,0.006851943211094666
TO,292,0.0063516425956814055
VI,257,0.005590315572226442
MT,254,0.005525058970216016
QA,226,0.004915997351452046
GL,218,0.004741979746090912
DJ,209,0.004546209940059636
GQ,209,0.004546209940059636
AX,204,0.004437448936708927
YT,192,0.004176422528667225
KI,163,0.003545608709233113
FK,156,0.0033933433045421207
GD,152,0.003306334501861554
AW,137,0.002980051491809426
FM,130,0.0028277860871184337
BH,126,0.0027407772844378667
JE,125,0.002719025083767725
DM,123,0.002675520682427441
KN,114,0.002479750876396165
IM,112,0.0024362464750558813
AS,111,0.0024144942743857395
NU,102,0.0022187244683544633
MH,96,0.0020882112643336127
XG,91,0.0019794502609829035
AD,90,0.001957698060312762
KY,83,0.0018054326556217692
VC,83,0.0018054326556217692
MO,72,0.0015661584482502095
MP,69,0.0015009018462397842
CK,67,0.0014573974448995005
MV,65,0.0014138930435592168
AG,65,0.0014138930435592168
SC,62,0.0013486364415487915
