category,n,pct
high_school,169355,0.19654947077817528
structure_and_geography,168885,0.19600399971876903
mountain,168880,0.19599819683515834
banks,168651,0.19573242476578806
information_technology_company,167104,0.1939370125766361
travel_company,166241,0.19293543486542847
pharmacy,165220,0.19175048603212258
business_equipment_and_supply,163380,0.1896150248633833
business_manufacturing_and_supply,163317,0.18954190852988842
community_center,162335,0.18840222218874603
holiday_rental_home,161340,0.1872474483502158
farm,159347,0.18493441894298898
business,153689,0.17836787584911565
sporting_goods,152936,0.17749396157734354
smoothie_juice_bar,152441,0.1769194760998838
wholesale_store,150448,0.17460644669265693
european_restaurant,150381,0.1745286880522735
bank_credit_union,148315,0.17213093654433034
latin_american_restaurant,147987,0.17175026737946814
pizza_restaurant,147512,0.1711989934364512
preschool,147183,0.17081716369486682
travel_services,144857,0.16811766223916705
stadium_arena,143928,0.16703948646429814
tea_room,140404,0.16294961409547357
auto_body_shop,136699,0.15864967733994143
lounge,135452,0.1572024381674317
burger_restaurant,135354,0.1570887016486619
arts_and_crafts,131689,0.15283518796201542
agriculture,131167,0.15222936691305788
mens_clothing_store,127603,0.14809307147534764
auto_detailing,126451,0.1467560870914413
marketing_agency,125268,0.14538312482914859
seafood_restaurant,124503,0.1444952836367108
thai_restaurant,124103,0.14403105294785443
boutique,124051,0.1439707029583031
computer_hardware_company,121963,0.14154741876247287
breakfast_and_brunch_restaurant,121798,0.1413559236033196
bed_and_breakfast,120271,0.13958372294861043
public_relations,120104,0.1393899066360129
telecommunications_company,117210,0.13603119760213708
used_car_dealer,116884,0.13565284959071916
mobile_phone_store,116033,0.13466519880017722
agricultural_service,113557,0.1317916108361563
freight_and_cargo_service,113149,0.1313180955335228
barbecue_restaurant,112790,0.1309014484902742
middle_school,111691,0.12962597467264134
beer_bar,110629,0.12839344219372767
mexican_restaurant,109833,0.12746962312290352
skin_care,109392,0.12695780878843937
food_delivery_service,109384,0.12694852417466224
lawyer,109256,0.12679997035422821
food_stand,109255,0.12679880977750607
family_practice,109213,0.12675006555517615
chicken_restaurant,106695,0.12382773336882531
accountant,106448,0.12354107091845652
chinese_restaurant,106047,0.123075679652878
charity_organization,105410,0.12233639228087423
shoe_store,105222,0.12211820385711174
inn,104366,0.12112475018295912
hvac_services,104086,0.12079978870075966
shopping_center,103090,0.11964385428550732
music_venue,102890,0.1194117389410791
property_management,102481,0.11893706306172348
superstore,102447,0.11889760345317069
gas_station,101627,0.11794593054101515
interior_design,101213,0.1174654517780488
non_governmental_association,100353,0.11646735579700762
graphic_designer,99314,0.11526151658270319
consultant_and_general_service,98308,0.11409397640022942
cottage,97827,0.11353573899687965
department_store,97100,0.11269199971988321
wedding_planning,96143,0.11158132779679433
dance_club,96040,0.11146178839441381
candy_store,93992,0.10908492726746924
tanning_salon,93630,0.10866479849405422
mailbox_center,93538,0.10855802543561724
museum,92857,0.10776767268783928
landscaping,91857,0.10660709596569835
investing,91239,0.10588985955141528
nursery_and_gardening,91204,0.10584923936614035
home_developer,89151,0.10346657535558505
computer_store,88124,0.10227466306194631
sandwich_shop,87986,0.10211450347429087
fitness_trainer,87686,0.1017663304576486
screen_printing_t_shirt_printing,87198,0.10119996901724383
home_cleaning,87112,0.10110015941913972
jewelry_store,86772,0.10070556333361179
mediterranean_restaurant,86330,0.10019258842242551
physical_therapy,86313,0.1001728586181491
beach,86082,0.09990476539533455
massage,86039,0.0998548605962825
optometrist,85318,0.09901808477961889
private_school,84162,0.097676458088824
psychotherapist,83927,0.09740372255912087
steakhouse,80387,0.09329528096274202
print_media,80102,0.09296451659693186
rental_service,79871,0.09269642337411732
river,79079,0.0917772466101817
sign_making,78997,0.09168207931896616
ice_cream_shop,77701,0.09017797188707152
private_establishments_and_corporates,77629,0.09009441036307737
tire_dealer_and_repair,76856,0.08919728455686245
liquor_store,76653,0.08896168748226783
architectural_designer,76494,0.08877715578344743
atms,76104,0.08832453086181247
educational_services,76068,0.0882827500998154
pet_store,75792,0.08796243092450451
cocktail_bar,75367,0.08746918581759461
laboratory_testing,75177,0.08724867624038785
livestock_breeder,74882,0.08690630610735628
internet_service_provider,74692,0.08668579653014949
eyewear_and_optician,73673,0.0855031688502879
shipping_center,73578,0.0853929140616845
food_beverage_service_distribution,73440,0.08523275447402907
post_office,73338,0.0851143756483707
childrens_clothing_store,73211,0.0849669824046588
beer_garden,73170,0.08491939875905102
theatre,72976,0.08469424687495568
energy_company,72864,0.0845642622820759
jewelry_and_watches_manufacturer,72856,0.08455497766829877
art_gallery,72375,0.083996740264949
plumbing,71989,0.08354875765020259
software_development,71740,0.08325977404638951
web_designer,71399,0.08286401738413944
storage_facility,71313,0.08276420778603533
installment_loans,70997,0.08239746554183881
financial_advising,70072,0.08132393207385846
business_banking_service,69553,0.08072159275506731
fruits_and_vegetables,68699,0.07973046023435897
amusement_park,68548,0.07955521314931568
hair_removal,66858,0.07759383848889755
town_hall,66755,0.07747429908651703
medical_supply,65949,0.07653887424847144
discount_store,65930,0.07651682329075077
specialty_grocery_store,65672,0.07621739449643841
vitamins_and_supplements,65539,0.07606303779239366
sushi_restaurant,64284,0.07460651400610682
caterer,64079,0.07436859577806793
nail_salon,63995,0.0742711073334081
lake,63337,0.07350744785023937
audio_visual_equipment_store,63283,0.07344477670724375
cabin,63172,0.07331595269108611
theme_restaurant,63116,0.07325096039464622
trusts,62898,0.0729979546692195
motorcycle_dealer,62873,0.07296894025116599
retirement_home,61909,0.07185014429102214
catholic_church,61306,0.07115031652757116
electrician,60957,0.07074527525154399
cosmetic_dentist,60802,0.07056538585961214
drugstore,60130,0.06978547830233343
evangelical_church,59772,0.06936999183580699
outdoor_gear,58728,0.06815834973789187
occupational_therapy,58712,0.06813978051033762
mass_media,58529,0.06792739497018582
massage_therapy,58095,0.06742370467277667
gastropub,57995,0.06730764700056258
public_plaza,57975,0.06728443546611976
thrift_store,57492,0.0667238769093257
amateur_sports_team,57151,0.06632812024707564
carpenter,57137,0.06631187217296566
sports_wear,55999,0.0649911358631693
tutoring_center,55990,0.06498069067267004
gardener,55527,0.06444334365031879
b2b_machinery_and_tools,54717,0.06350327650538465
broadcasting_media_production,54623,0.0633941822935034
corporate_office,54457,0.06320152655762801
hostel,53637,0.06224985364547246
auto_customization,53230,0.0617774989195611
fire_protection_service,53120,0.0616498354801256
cupcake_shop,53108,0.061635908559459905
business_storage_and_transportation,52920,0.06141772013569742
hair_supply_stores,52871,0.06136085187631251
pets,52776,0.06125059708770912
commercial_real_estate,52759,0.06123086728343273
history_museum,52694,0.06115542979649356
indian_restaurant,52233,0.0606204039275866
senior_citizen_services,52217,0.06060183470003235
funeral_services_and_cemeteries,51890,0.06022232611189227
hobby_shop,51842,0.060166618429229504
car_wash,51409,0.05966408870854249
resort,51250,0.05947955700972208
middle_eastern_restaurant,51249,0.059478396432999944
b2b_science_and_technology,51139,0.05935073299356444
police_department,50253,0.05832246201774758
veterinarian,50172,0.05822845530325417
appliance_repair_service,49752,0.05774101307995499
employment_agencies,49162,0.05705627281389185
dry_cleaning,49076,0.05695646321578772
motorcycle_repair,48564,0.05636224793405157
spanish_restaurant,48480,0.05626475948939173
commercial_vehicle_dealer,48386,0.05615566527751049
business_management_services,48380,0.05614870181717764
b2b_medical_support_services,48218,0.055960688388190814
b2b_textiles,47524,0.055155248143025026
taco_restaurant,47511,0.05514016064563718
auto_manufacturers_and_distributors,47221,0.05480359339621632
campground,46920,0.0544542598028519
vietnamese_restaurant,46812,0.054328917516860684
wine_bar,46732,0.05423607137908941
pool_cleaning,46720,0.05422214445842372
law_enforcement,46105,0.05350838977430705
bookstore,45208,0.05246735245454665
performing_arts,45206,0.05246503130110237
art_school,45195,0.052452264957158816
insurance_agency,44941,0.05215747846973503
brazilian_restaurant,44732,0.051914917934807576
texmex_restaurant,44304,0.05141819109773126
psychologist,44267,0.05137524975901205
youth_organizations,44253,0.051359001684902074
automobile_leasing,44223,0.051324184383237846
makeup_artist,44127,0.051212769017912316
wholesaler,44084,0.05116286421886026
farmers_market,43985,0.05104796712336831
surgeon,43645,0.0506533710378404
urban_farm,43376,0.050341175899584485
french_restaurant,43337,0.050295913407421
meat_wholesaler,43316,0.050271541296256037
toy_store,43262,0.05020887015326042
engine_repair_service,42930,0.04982355868150964
bridal_shop,42572,0.049408072214983195
tapas_bar,42456,0.04927344531521484
chemical_plant,42405,0.04921425590238566
vocational_and_technical_school,42348,0.04914810302922363
butcher_shop,42140,0.04890670307101831
national_park,42024,0.04877207617124996
indonesian_restaurant,41873,0.04859682908620669
rv_park,41126,0.04772987827476742
b2b_energy_and_mining,41009,0.04759409079827693
orthodontist,40904,0.04747223024245214
metal_fabricator,40625,0.04714842933697482
speech_therapist,40504,0.04700799955359577
utility_service,40258,0.046722497679949106
ambulance_and_ems_services,40110,0.046550732325072244
agricultural_cooperatives,39997,0.04641958715547032
gift_shop,39883,0.04628728140914626
windows_installation,39505,0.04584858340817699
noodles_restaurant,39480,0.04581956899012347
motorsport_vehicle_dealer,39213,0.045509695005311844
tobacco_shop,38735,0.044954939332128484
buddhist_temple,38187,0.04431894328839526
cultural_center,38093,0.04420984907651401
mortgage_broker,38088,0.04420404619290331
internet_marketing_service,38037,0.044144856780074127
