value,n,pct
PF,3740,0.0034789875338853624
AG,3429,0.0031896920464419536
MW,3321,0.003089229304821735
IM,3274,0.003045509408005528
KY,3244,0.0030176030908888006
AF,3206,0.0029822550892076123
RW,3196,0.0029729529835020364
BM,3023,0.0028120265547955745
CV,2715,0.002525521699063839
TC,2661,0.002475290328253729
ML,2554,0.002375757797204068
LC,2421,0.0022520397913199093
MC,2335,0.002172041682251957
TJ,2321,0.002159018734264151
SC,2222,0.0020669278877789503
YE,2167,0.0020157663063982835
JE,2165,0.0020139058852571678
TL,2161,0.0020101850429749377
PG,2100,0.001953442198170925
VC,2054,0.0019106525119252761
GG,2038,0.001895769142796355
BF,1882,0.001750656293789372
NC,1841,0.0017125176603965111
AX,1658,0.0015422891259844734
NE,1638,0.0015236849145733216
GA,1613,0.001500429650309382
MP,1594,0.0014827556494687879
GY,1593,0.0014818254388982302
BT,1566,0.0014567097534931754
MO,1534,0.001426943015235333
SM,1447,0.0013460146955968232
SX,1386,0.0012892718507928106
GF,1370,0.0012743884816638893
TG,1350,0.0012557842702527375
MR,1324,0.0012315987954182404
LI,1308,0.001216715426289319
VG,1296,0.001205552899442628
DM,1296,0.001205552899442628
GD,1281,0.0011915997408842643
KN,1268,0.0011795070034670157
FO,1256,0.0011683444766203248
GI,1238,0.0011516006863502883
CG,1229,0.00114322879121527
WS,1173,0.0010911369992640451
MF,1147,0.001066951524429548
SO,1099,0.0010223014170427842
GL,1005,0.0009348616234103712
SS,996,0.000926489728275353
SZ,990,0.0009209084648520076
AQ,986,0.0009171876225697772
GM,981,0.0009125365697169893
LR,881,0.0008195155126612309
BQ,860,0.0007999810906795218
LS,851,0.0007916091955445035
TD,842,0.0007832373004094852
BI,782,0.0007274246661760302
GN,774,0.0007199829816115696
SL,762,0.0007088204547648785
ST,734,0.0006827745587892662
KP,727,0.0006762630847953631
GQ,723,0.0006725422425131328
BL,664,0.0006176598188502353
CF,617,0.000573939922034029
PW,598,0.0005562659211934349
SJ,566,0.0005264991829355922
VU,564,0.000524638761794477
AI,564,0.000524638761794477
YT,462,0.00042975728359760353
SB,455,0.0004232458096037004
DJ,454,0.00042231559903314284
EH,429,0.00039906033476920326
CK,414,0.00038510717621083947
TO,408,0.000379525912787494
GW,363,0.0003376664371124027
FM,289,0.00026883085489114156
AS,257,0.00023906411663329895
MH,221,0.00020557653609322592
SH,213,0.00019813485152876526
ER,191,0.00017767021897649844
FK,179,0.00016650769212980742
KM,171,0.00015906600756534676
MS,165,0.00015348474414200126
GS,143,0.00013302011158973444
NF,135,0.00012557842702527375
KI,134,0.00012464821645471617
PM,118,0.00010976484732579484
TF,107,9.953253104966143e-05
CX,92,8.557937249129767e-05
VA,92,8.557937249129767e-05
NR,80,7.441684564460668e-05
NU,65,6.0463687086242916e-05
TV,64,5.953347651568534e-05
UM,59,5.488242366289742e-05
WF,55,5.1161581380667086e-05
IO,43,3.9999054533976084e-05
HM,43,3.9999054533976084e-05
CC,35,3.255736996951542e-05
AN,33,3.0696948828400254e-05
TK,20,1.860421141115167e-05
PN,17,1.5813579699478916e-05
XX,12,1.1162526846691e-05
